beam_current,voltage,heater_current
0,0,0
0,0,0
0,0,0
0,1.04,0
0,0,0
0,,
0.25,0.8,6.1
2.4,0.81,6.1
2.958,0.8,6.08
4.119,0.81,6.08
4.222,0.81,6.07
4.203,0.8,6.06
4.5,0.8,6.05
4.62,0.8,6.04
4.724,0.81,6.01
4.243,0.81,6
4.5,,6.01
4.538,,6.02
4.736,0.81,6.03
,,6.04
5.111,,6.03
5.1,,6.02
5.101,,6.01
5.108,,6
5.1,,5.99
5.11,,5.98
5.102,,5.97
5.109,0.8,5.96
5.105,0.8,5.95
5.106,0.8,5.94
4.929,0.81,5.94
4.984,0.8,5.94
4.972,0.82,5.94
4.993,0.81,5.94
5.001,0.82,5.94
5.065,0.82,5.94
5.11,0.81,5.93
4.945,0.8,5.93
4.933,0.8,5.93
4.917,0.81,5.93
4.881,0.81,5.93
4.924,0.81,5.93
4.899,0.82,5.93
4.911,0.8,5.93
4.909,0.81,5.93
4.814,0.8,5.92
4.651,0.81,5.91
4.604,0.81,5.9
4.512,,
4.461,,
4.435,0.81,5.89
4.432,,
4.293,,
4.285,0.81,5.88
4.162,,
4.033,0.81,5.87
3.859,0.81,5.86
3.733,0.81,5.85
3.557,0.79,5.84
3.417,0.79,5.83
3.272,0.78,5.82
3.126,0.79,5.81
2.984,0.78,5.8
2.856,0.79,5.79
2.724,0.78,5.78
2.607,0.77,5.77
2.487,0.8,5.76
2.395,0.8,5.75
2.275,0.79,5.74
2.176,0.79,5.73
2.093,0.79,5.72
1.986,0.75,5.71
1.914,0.75,5.7
1.825,0.76,5.69
1.73,0.76,5.68
1.645,0.75,5.67
1.576,0.74,5.66
1.508,0.73,5.65
1.445,0.73,5.64
1.366,0.74,5.63
1.306,0.73,5.62
1.254,0.74,5.61
1.193,0.73,5.6
1.104,0.73,5.59
1.055,0.74,5.58
0.997,0.74,5.57
0.961,0.74,5.56
0.913,0.74,5.55
0.882,0.73,5.54
0.844,0.73,5.53
0.803,0.72,5.52
0.776,0.72,5.51
0.738,0.72,5.5
0.703,0.72,5.49
0.663,0.72,5.48
0.634,0.72,5.47
0.606,0.72,5.46
0.58,0.72,5.45
0.547,0.72,5.44
0.522,0.71,5.43
0.498,0.69,5.42
0.479,0.68,5.41
0.455,0.68,5.4
0.43,0.68,5.39
0.411,0.68,5.38
0.392,0.68,5.37
0.37,0.68,5.36
0.354,0.68,5.35
0.337,0.68,5.34
0.322,0.68,5.33
0.302,0.68,5.32
0.286,0.68,5.31
0.269,0.68,5.3
0.256,0.68,5.29
0.244,0.68,5.28
0.231,0.67,5.27
0.222,0.68,5.26
0.206,0.67,5.25
0.195,0.67,5.24
0.184,0.67,5.23
0.174,0.67,5.22
0.164,0.67,5.21
0.155,0.67,5.2
0.145,0.67,5.19
0.138,0.67,5.18
0.13,0.67,5.17
0.122,0.67,5.16
0.115,0.66,5.15
0.104,0.66,5.14
0.096,0.66,5.13
0.01,0.59,4.88
0,0.58,4.76
,,
4.022,0.82,5.93
,,
1.23,0.73,5.57
1.213,,5.57
1.202,,5.57
1.19,,5.57
1.176,,5.57
1.156,,5.57
1.147,,5.57
,,
0.05,0.6,4.88
0.034,0.6,4.88
0.026,0.6,4.88
0.023,0.6,4.88
0.02,0.6,4.88
0.017,0.6,4.88
0.016,0.6,4.88
,,
0.001,0.59,4.76
0,,
,0,0
,,
0,,
,,
0.275,,
2.784,,
3,,
,,
3.199,,
3.206,,
,,
3.306,,
,,
3.242,,
,,
3.169,,
3.186,,
3.196,,
,,
3.14,,
3.19,,
3.177,,
,,
1.5,,
1.727,,
,,
2.702,,
3.225,,
3.4,,
3.766,,
,,
4.152,,
4.377,,
,,
4,,
4.136,,
,,
1.055,,
1.017,,
1.021,,
,,
0.101,,
0,,
0.073,,
0.922,,
4.73,,
,,
0,,
2.5,,
0.922,,
1.209,,
1.009,,
1.015,,
,,
0.979,,
1.002,,
,,
0.1,,
0,,
,,
3.585,0.81,5.93
3.566,,
3.609,,
,,
3.779,,
,,
3.758,,
,,
3.86,,
,,
,,
0,0.51,4.5
,,
4.12,0.81,5.93
,,
4.3,0.81,5.93
,,
4.225,0.81,5.93
4.35,,
4.53,0.8,5.93
4.58,,
4.51,,
4.54,,
4.718,,
4.73,,
4.667,,
4.764,,
4.77,,
4.697,,
,,
4.76,,
4.785,,
4.881,,
4.92,,
5.003,,
